0, 0, Header, 1, 2, 480
1, 0, Start_track
1, 0, Title_t, ""
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Tempo, 500000
1, 0, End_track
2, 0, Start_track
2, 0, Control_c, 9, 121, 0
2, 0, Title_t, ""
2, 0, Control_c, 9, 10, 64
2, 0, Control_c, 9, 7, 100
2, 0, Control_c, 9, 11, 127
2, 0, Control_c, 9, 101, 0
2, 0, Control_c, 9, 100, 2
2, 0, Control_c, 9, 6, 64
2, 0, Control_c, 9, 101, 0
2, 0, Control_c, 9, 100, 1
2, 0, Control_c, 9, 6, 64
2, 0, Control_c, 9, 38, 0
2, 0, Control_c, 9, 101, 0
2, 0, Control_c, 9, 100, 0
2, 0, Control_c, 9, 6, 12
2, 0, Pitch_bend_c, 9, 8192
2, 0, Control_c, 9, 1, 0
2, 0, Program_c, 9, 0
2, 0, Note_on_c, 9, 47, 100
2, 60, Note_off_c, 9, 47, 0
2, 480, Note_on_c, 9, 33, 100
2, 540, Note_off_c, 9, 33, 0
2, 960, Note_on_c, 9, 47, 100
2, 1020, Note_off_c, 9, 47, 0
2, 1440, Note_on_c, 9, 33, 100
2, 1500, Note_off_c, 9, 33, 0
2, 1500, End_track
0, 0, End_of_file
